MAL_ID,MAL_SCORE,MAL_TITLE,GENRES,STUDIOS,DIRECTORS,OG_CREATOR,SOURCE,ANIM_DIRECTOR,COMPOSER,AGE_RATING
19,8.8,b'Monster',"[b'Drama', b'Horror', b'Mystery', b'Suspense']",[b'Madhouse'],"b'Shishido, Jun'","b'Sorachi, Hideaki'",b'Manga',"b'Miyai, Kana'",None,b'R+ - Mild Nudity'
46102,8.8,b'Odd Taxi',[b'Mystery'],"[b'OLM', b'P.I.C.S.']","b'Itamura, Tomoyuki'",b'ONE',b'Original',"b'Watanabe, Akio'",b'Audio Highs',b'PG-13 - Teens 13 or older'
17074,8.78,b'Monogatari Series: Second Season',"[b'Comedy', b'Mystery', b'Romance', b'Supernatural']",[b'Shaft'],"b'Shinbou, Akiyuki'","b'Furudate, Haruichi'",b'Light novel',"b'Chiba, Yuriko'","b'Kawai, Kenji'",b'R - 17+ (violence & profanity)'
1,8.77,b'Cowboy Bebop',"[b'Action', b'Adventure', b'Comedy', b'Drama', b'Sci-Fi']",[b'Sunrise'],"b'Taniguchi, Gorou'","b'Urasawa, Naoki'",b'Original',"b'Kimura, Takahiro'","b'Hayashi, Yuuki'",b'R - 17+ (violence & profanity)'
33095,8.76,b'Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen',[b'Drama'],[b'Studio Deen'],"b'Fujita, Youichi'",None,b'Manga',"b'Mataga, Daisuke'","b'Tachibana, Asami'",b'PG-13 - Teens 13 or older'
24701,8.75,b'Mushishi Zoku Shou 2nd Season',"[b'Adventure', b'Fantasy', b'Mystery', b'Slice of Life', b'Supernatural']",[b'Artland'],"b'Miyawaki, Chizuru'","b'NISIO, ISIN'",b'Manga',"b'Nakada, Eiji'","b'Haishima, Kuniaki'",b'PG-13 - Teens 13 or older'
263,8.74,b'Hajime no Ippo',"[b'Comedy', b'Drama', b'Sports']",[b'Madhouse'],"b'Fujita, Youichi'","b'Yatate, Hajime'",b'Manga',"b'Nakatani, Seiichi'",b'OMSB',b'PG-13 - Teens 13 or older'
40748,8.74,b'Jujutsu Kaisen (TV)',"[b'Action', b'Supernatural']",[b'MAPPA'],"b'Miyawaki, Chizuru'","b'Kumota, Haruko'",b'Manga',"b'Takeuchi, Shinji'",b'PUNPEE',b'R - 17+ (violence & profanity)'
37521,8.73,b'Vinland Saga',"[b'Action', b'Adventure', b'Drama']",[b'Wit Studio'],"b'Tachikawa, Yuzuru'","b'Urushibara, Yuki'",b'Manga',"b'Takeuchi, Shinji'",b'VaVa',b'R - 17+ (violence & profanity)'
1575,8.71,b'Code Geass: Hangyaku no Lelouch',"[b'Action', b'Drama', b'Sci-Fi']",[b'Sunrise'],"b'Mitsunaka, Susumu'","b'Morikawa, George'",b'Original',"b'Kameda, Yoshimichi'","b'Kousaki, Satoru'",b'R - 17+ (violence & profanity)'
21939,8.71,b'Mushishi Zoku Shou',"[b'Adventure', b'Fantasy', b'Mystery', b'Slice of Life', b'Supernatural']",[b'Artland'],"b'Kojima, Masayuki'","b'Akutami, Gege'",b'Manga',"b'Chiba, Takahiro'",b'MONACA',b'PG-13 - Teens 13 or older'
34599,8.7,b'Made in Abyss',"[b'Adventure', b'Drama', b'Fantasy', b'Mystery', b'Sci-Fi']",[b'Kinema Citrus'],"b'Kinoshita, Baku'","b'Yukimura, Makoto'",b'Web manga',"b'Yahiro, Yuuko'","b'Kanno, Yoko'",b'R - 17+ (violence & profanity)'
245,8.69,b'Great Teacher Onizuka',"[b'Comedy', b'Drama', b'Slice of Life']",[b'Studio Pierrot'],"b'Itamura, Tomoyuki'","b'Ookouchi, Ichirou'",b'Manga',"b'Kanemori, Yoshinori'",b'Seatbelts',b'R - 17+ (violence & profanity)'
23273,8.69,b'Shigatsu wa Kimi no Uso',"[b'Drama', b'Romance']",[b'A-1 Pictures'],"b'Shinbou, Akiyuki'","b'Urushibara, Yuki'",b'Manga',None,"b'Tchaikovsky, Pyotr Ilyich'",b'PG-13 - Teens 13 or older'
457,8.68,b'Mushishi',"[b'Adventure', b'Fantasy', b'Mystery', b'Slice of Life', b'Supernatural']",[b'Artland'],"b'Watanabe, Shinichiro'","b'Tsukushi, Akihito'",b'Manga',"b'Sugiyama, Nobuhiro'","b'Shibue, Kana'",b'PG-13 - Teens 13 or older'
2921,8.68,b'Ashita no Joe 2',"[b'Action', b'Drama', b'Slice of Life', b'Sports']",[b'Tokyo Movie Shinsha'],"b'Omata, Shinichi'","b'Fujisawa, Tohru'",b'Manga',"b'Watanabe, Akio'","b'Masuda, Toshio'",b'PG-13 - Teens 13 or older'
28891,8.67,b'Haikyuu!! Second Season',"[b'Comedy', b'Drama', b'Sports']",[b'Production I.G'],"b'Nagahama, Hiroshi'","b'Arakawa, Naoshi'",b'Manga',"b'Kawamoto, Toshihiro'","b'Imahori, Tsuneo'",b'PG-13 - Teens 13 or older'
40591,8.67,b'Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen',"[b'Comedy', b'Romance']",[b'A-1 Pictures'],"b'Nishimura, Satoshi'","b'Urushibara, Yuki'",b'Manga',None,"b'Okehazama, Alisa'",b'PG-13 - Teens 13 or older'
5258,8.66,b'Hajime no Ippo: New Challenger',"[b'Comedy', b'Drama', b'Sports']",[b'Madhouse'],"b'Park, Seong-Hu'","b'Chiba, Tetsuya'",b'Manga',None,"b'Terui, Yoshimasa'",b'PG-13 - Teens 13 or older'
11665,8.66,b'Natsume Yuujinchou Shi',"[b'Drama', b'Slice of Life', b'Supernatural']","[b""Brain's Base""]","b'Yabuta, Shuuhei'","b'Kajiwara, Ikki'",b'Manga',None,"b'Tsutsumi, Hiroaki'",b'PG-13 - Teens 13 or older'
2001,8.65,b'Tengen Toppa Gurren Lagann',"[b'Action', b'Adventure', b'Comedy', b'Sci-Fi']",[b'Gainax'],"b'Taniguchi, Gorou'","b'Furudate, Haruichi'",b'Original',"b'Hiramatsu, Tadashi'","b'Yamada, Yutaka'",b'PG-13 - Teens 13 or older'
33352,8.65,b'Violet Evergarden',"[b'Drama', b'Fantasy', b'Slice of Life']",[b'Kyoto Animation'],"b'Nagahama, Hiroshi'","b'Akasaka, Aka'",b'Light novel',"b'Abiru, Takahiko'","b'Kuroishi, Hitomi'",b'PG-13 - Teens 13 or older'
34591,8.64,b'Natsume Yuujinchou Roku',"[b'Drama', b'Slice of Life', b'Supernatural']",[b'Shuka'],"b'Kojima, Masayuki'","b'Morikawa, George'",b'Manga',"b'Kimura, Takahiro'","b'Nakagawa, Koutarou'",b'PG-13 - Teens 13 or older'
35760,8.63,b'Shingeki no Kyojin Season 3',"[b'Action', b'Drama', b'Fantasy', b'Mystery']",[b'Wit Studio'],"b'Abe, Noriyuki'","b'Midorikawa, Yuki'",b'Manga',"b'Nakada, Eiji'","b'Masuda, Toshio'",b'R - 17+ (violence & profanity)'
1535,8.63,b'Death Note',"[b'Mystery', b'Supernatural', b'Suspense']",[b'Madhouse'],"b'Ishiguro, Kyouhei'",None,b'Manga',"b'Nakatani, Seiichi'","b'Penkin, Kevin'",b'R - 17+ (violence & profanity)'
22135,8.62,b'Ping Pong the Animation',"[b'Drama', b'Sports']",[b'Tatsunoko Production'],"b'Nagahama, Hiroshi'","b'Akatsuki, Kana'",b'Manga',"b'Umakoshi, Yoshihiko'","b'Honma, Yusuke'",b'PG-13 - Teens 13 or older'
19647,8.59,b'Hajime no Ippo: Rising',"[b'Comedy', b'Drama', b'Sports']","[b'Madhouse', b'MAPPA']","b'Dezaki, Osamu'","b'Midorikawa, Yuki'",b'Manga',None,"b'Chopin, Fr\xc3\xa9d\xc3\xa9ric'",b'PG-13 - Teens 13 or older'
37991,8.59,b'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze',"[b'Action', b'Adventure']",[b'David Production'],"b'Mitsunaka, Susumu'","b'Isayama, Hajime'",b'Manga',None,"b'Rachmaninoff, Sergei'",b'R - 17+ (violence & profanity)'
21,8.59,b'One Piece',"[b'Action', b'Adventure', b'Comedy', b'Drama', b'Fantasy']",[b'Toei Animation'],"b'Omata, Shinichi'","b'Ohba, Tsugumi'",b'Manga',"b'Aikyou, Yukiko'","b'Saint-Sa\xc3\xabns, Camille'",b'PG-13 - Teens 13 or older'
28735,8.59,b'Shouwa Genroku Rakugo Shinjuu',[b'Drama'],[b'Studio Deen'],"b'Shishido, Jun'","b'Matsumoto, Taiyou'",b'Manga',"b'Umakoshi, Yoshihiko'","b'Yokoyama, Masaru'",b'PG-13 - Teens 13 or older'
7785,8.59,b'Yojouhan Shinwa Taikei',"[b'Comedy', b'Mystery', b'Romance']",[b'Madhouse'],"b'Oomori, Takahiro'","b'Morikawa, George'",b'Novel',None,"b'van Beethoven, Ludwig'",b'R - 17+ (violence & profanity)'
32983,8.58,b'Natsume Yuujinchou Go',"[b'Drama', b'Slice of Life', b'Supernatural']",[b'Shuka'],"b'Imaishi, Hiroyuki'","b'Araki, Hirohiko'",b'Manga',"b'Chiba, Takahiro'","b'Masuda, Toshio'",b'PG-13 - Teens 13 or older'
10379,8.58,b'Natsume Yuujinchou San',"[b'Drama', b'Slice of Life', b'Supernatural']","[b""Brain's Base""]","b'Fujita, Haruka'","b'Oda, Eiichiro'",b'Manga',"b'Yahiro, Yuuko'","b'Haneda, Kentarou'",b'PG-13 - Teens 13 or older'
37779,8.58,b'Yakusoku no Neverland',"[b'Horror', b'Mystery', b'Sci-Fi', b'Suspense']",[b'CloverWorks'],"b'Ishidate, Taichi'","b'Kumota, Haruko'",b'Manga',"b'Hariba, Yuuko'","b'Hayashi, Yuuki'",b'R - 17+ (violence & profanity)'
11741,8.58,b'Fate/Zero 2nd Season',"[b'Action', b'Fantasy', b'Supernatural']",[b'ufotable'],"b'Deai, Kotomi'","b'Morimi, Tomihiko'",b'Light novel',"b'Tanaka, Kie'","b'Tachibana, Asami'",b'R - 17+ (violence & profanity)'
40417,8.58,b'Fruits Basket 2nd Season',"[b'Comedy', b'Drama', b'Romance', b'Slice of Life', b'Supernatural']",[b'TMS Entertainment'],"b'Oomori, Takahiro'","b'Midorikawa, Yuki'",b'Manga',"b'Yakou, Hiroshi'","b'Haneoka, Kei'",b'PG-13 - Teens 13 or older'
38000,8.58,b'Kimetsu no Yaiba',"[b'Action', b'Supernatural']",[b'ufotable'],"b'Araki, Tetsurou'","b'Midorikawa, Yuki'",b'Manga',"b'Yamaguchi, Jinshichi'","b'Hirano, Yoshihisa'",b'R - 17+ (violence & profanity)'
5300,8.56,b'Zoku Natsume Yuujinchou',"[b'Drama', b'Slice of Life', b'Supernatural']","[b""Brain's Base""]","b'Koizuka, Masashi'","b'Shirai, Kaiu'",b'Manga',None,"b'Yoshimori, Makoto'",b'PG-13 - Teens 13 or older'
12365,8.56,b'Bakuman. 3rd Season',"[b'Comedy', b'Drama', b'Romance']",[b'J.C.Staff'],"b'Araki, Tetsurou'",b'Type-Moon',b'Manga',"b'Takada, Akira'","b'Iwasaki, Taku'",b'PG-13 - Teens 13 or older'
35839,8.55,b'Sora yori mo Tooi Basho',"[b'Adventure', b'Comedy', b'Drama']",[b'Madhouse'],"b'Yuasa, Masaaki'","b'Urobuchi, Gen'",b'Original',None,"b'Call, Evan'",b'PG-13 - Teens 13 or older'
42203,8.54,b'Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2',"[b'Drama', b'Fantasy', b'Suspense']",[b'White Fox'],"b'Shishido, Jun'","b'Takaya, Natsuki'",b'Light novel',None,"b'Yoshimori, Makoto'",b'R - 17+ (violence & profanity)'
38474,8.54,b'Yuru Camp\xe2\x96\xb3 Season 2',"[b'Comedy', b'Slice of Life']",[b'C-Station'],"b'Kimura, Yasuhiro'","b'Gotouge, Koyoharu'",b'Manga',"b'Yamazaki, Eri'","b'Sawano, Hiroyuki'",b'PG-13 - Teens 13 or older'
40776,8.54,b'Haikyuu!!: To the Top 2nd Season',"[b'Comedy', b'Drama', b'Sports']",[b'Production I.G'],"b'Takahashi, Hideya'","b'Midorikawa, Yuki'",b'Manga',"b'Asano, Kyouji'","b'Hirano, Yoshihisa'",b'PG-13 - Teens 13 or older'
35843,8.53,b'Gintama.: Porori-hen',"[b'Action', b'Comedy', b'Sci-Fi']",[b'Bandai Namco Pictures'],"b'Tsuda, Naokatsu'","b'Ohba, Tsugumi'",b'Manga',"b'Kadowaki, Satoshi'","b'Taniuchi, Hideki'",b'PG-13 - Teens 13 or older'
801,8.53,b'Koukaku Kidoutai: Stand Alone Complex 2nd GIG',"[b'Action', b'Mystery', b'Sci-Fi']",[b'Production I.G'],"b'Nagamine, Tatsuya'",None,b'Manga',"b'Kagami, Takahiro'","b'Ushio, Kensuke'",b'R - 17+ (violence & profanity)'
30276,8.53,b'One Punch Man',"[b'Action', b'Comedy', b'Sci-Fi', b'Supernatural']",[b'Madhouse'],"b'Sakai, Munehisa'","b'Nagatsuki, Tappei'",b'Web manga',"b'Kitao, Masaru'","b'Hirano, Yoshihisa'",b'R - 17+ (violence & profanity)'
170,8.53,b'Slam Dunk',"[b'Comedy', b'Drama', b'Sports']",[b'Toei Animation'],"b'Uda, Kounosuke'",b'Afro',b'Manga',"b'Itou, Nobutake'","b'Imahori, Tsuneo'",b'PG-13 - Teens 13 or older'
30654,8.52,b'Ansatsu Kyoushitsu 2nd Season',"[b'Action', b'Comedy']",[b'Lerche'],"b'Omata, Shinichi'","b'Furudate, Haruichi'",b'Manga',None,"b'Kanno, Yuugo'",b'PG-13 - Teens 13 or older'
3297,8.51,b'Aria the Origination',"[b'Fantasy', b'Sci-Fi', b'Slice of Life']",[b'Hal Film Maker'],"b'Yuasa, Masaaki'","b'Sorachi, Hideaki'",b'Manga',"b'Ishimoto, Shunichi'","b'Dvo\xc5\x99\xc3\xa1k, Anton\xc3\xadn'",b'G - All Ages'
